chain,contract_address,campaign,notes
avalanche,0x000852137f225813d8cf4646ece5b1a5bc0de743,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x002c7df38239e8774b0ebbf9d6919f9c817db174,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x0088443b3a362950b63acab45479ed4c3bc4675e,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x00b8d2643bf2b45d118ebfca523ba13e358d47b1,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x00bf83833f7aff609b63c8e94a4f04da710ebf83,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x00d101929054bccf747472d73589fd8eb519d83a,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x01243c71f8fcbc3a03b715c3f2c26453722bb5cc,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x01559655868f1faf667f7e59d5921e48f2a9d8aa,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x0193023dc654b77606a34d95fe11790a33e69b39,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x01abbe6dddb7db53911bc627309bb04d0309a01c,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x01b0b5b87f6e0a48954cf90b195aa8797f5fbfb3,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x02072acee496ad1ef210a593dafec9ed39b05a02,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x022817cc1ac6137aab28a954248f9f8adf22e8aa,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x02943144a76fdb030cb874e796a41ec4c44e7f88,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x02f08010d4e15aa6b9e7446a78f2c44460219d29,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x02fd5f98425c1c82c3682a796bf3180c1b7e6275,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x0302d0597b1962060dae3591839fdfca499f7151,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x030c1e025521e817280ece0848472e9226ad48bf,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x033bf2d0e834148a70bddb254400b9669c8b1ac1,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x03af840ccec537a809d6a4fdab0a616262d7032c,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x03c4acb2a0843b423bed30d9fca733305f3085c4,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x0415cc4b0c9f377525db858e3bd473cd99ac0d15,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x041894bf522e9ae6ebb4cb8141803f02fd507620,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x047469748e22030c6069e3dec228ba7d7d440c25,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x048b22a38b85e5f35c0643a9036c083f69292d60,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x04b4f3cc9ee3083b2bec80695c9176e8a43cb11e,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x04c131561579c229d7950e2409156fb11db481dd,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x04c7d22de368850f3cae0a8ca7360d0f44cf7fdc,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x050de61384a8b355d540ed4844b7bfc6408b85dd,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
avalanche,0x051cb1b34085ceba1bf8ec5a01231059a7e45a07,campaign_2b,first approved+drained by hardcoded drain wallet in June 2026 (bytecode identical to campaign_2a)
