chain,contract_address,hardcoded_manager,ever_drained_by_mgr,ever_blacklisted_by_mgr,notes
polygon,0x00485c2c619320e90f5ed9648ae01f51c249bc51,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x008017d7cfb0101682b43b791979d333fc7836ec,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x00bba571d75b05ac3fd71b7700bc74ad01b7722a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x00d991eaa0a7feb46ef92d628b310fc3979d8560,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x0132035ae3fe4adf52dabf555d0a5182fd6c1ed5,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x01b332e33cc7479acb97ca482b7c5ff2dcdbbd1d,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x021a4fd70d41e526550c2819110ab8917e407b81,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x023733a44b81bcbfc66cee79292589534c8f99d5,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x02496b72819d69c1a9056db3ffc8bea267fba5d7,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x02f17dc8b4bc0982722efa5917cb6a028e212a2e,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x033f81e16615c3744f02f4072318959aca81b7a4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x03a16189827d6d3855133060b6172cb08024fcc3,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x03c45bbb8f3b4fdd07142d645f9ece4408c31f8d,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x040b0b8b38e4bf7fa3f2be444e9922355dfa4c8a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x041bd8f554c0116bdfdae43659633322ccec09f8,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x043281fe3fd90df60504485d067bff4a571f57d4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x04ff3794d6ea4b814157e56fa0e97c07013a8438,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x05a79f39741998151547ae34baa44aefe585a50a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x05bc54465a1b3b0e598616c99cb957e91c783056,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x05d2add9adb678e75d348d456a05b2a9530bfbb2,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x05eca63a45be772e09e430b5389e198b26980511,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0649ec1500523bd4e22ebdc3be0d37f7be2810fc,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x06e96ec4c7b943c819491105f733d7777842199f,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x07622bba5dbc48f94ad39abcc04e2e502a9e33f4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x079ec0b801c919ae349328c7bf167e311fbb8e53,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x07ce48b67a15e89050b870d60d2bee67864f57e8,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x080242a3d2e246150eb4a493829efef9eef9fd5e,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0874f5de76fd30d203d5bf041fad0c0fea352d72,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x09b9af62ab7bb7903ca982fa7155c8bb8b842b15,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0ad09eacb6f8b4398f535693faa4e6200be18da9,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0b3e8162d2c702c70569439fa13477b3ade6f9c9,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0b7a8471dab04202ca700fe792e8450dc69a68e9,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0baea28ad75415e37e91a17d0cf3d1fa06eaf7ec,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0beb7ce520192c4862cddd1b1e9840280b4b00fa,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0bf5586289619ae44297af2f408f5aaa0054f28f,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0bff7b75d76d161fd742bb8aa2b1c6d87db32ad3,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0c4bb0647637b21139ed47890a48bfa61f2fcb66,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
polygon,0x0c9db35c19392250436b877e50c3fdcda0cb3c60,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0cf214d33afaf582a9a8bc00fdacd020159e72f2,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0d83204dc034d96bcb057ee260d4d8defb12ca7a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0e1e0ec21ebefb49e8ffa65f98dc5854837b4a59,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0e4dcd7b45e99747b98cff989887820b580708ca,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x0eb9b3667e0276104cd3bdd79d09cbc7f29d4af1,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x102eae7a6af9a62c69f5f0d6ff3f4d1b58897363,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x10663f59d4a7475537164c0c8f47294f7fce6821,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1083dba97798524cd256b6d2e68b851f7b0be3ca,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x111e5dce556a82bd2a5c5b00d9ebffdfee4272be,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x112c4a15369afa34a6e9f434f71ed95e5bff7059,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x113af2e6add4c7a991beb8f8ed25c088807299c9,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
